energie;0;1;10;20;30;40;50;60
2.0000E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.9609E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.9225E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.8848E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.8480E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.8118E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.7763E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.7415E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.7075E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.6740E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.6413E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.6091E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.5777E+01;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00;0.0000E+00
1.5468E+01;1.5994E-24;3.3986E-40;7.2216E-56;1.5345E-71;3.2605E-87;6.9282E-103; 1.4721E-118; 3.1281E-134
1.5165E+01;5.2633E-20;1.1184E-35;2.3764E-51;5.0493E-67;1.0729E-82;2.2797E-98;4.8441E-114;1.0293E-129
1.4868E+01;1.3850E-18;2.9428E-34;6.2528E-50;1.3286E-65;2.8232E-81;5.9988E-97;1.2746E-112;2.7084E-128
1.4577E+01;3.4292E-18;7.2863E-34;1.5482E-49;3.2897E-65;6.9903E-81;1.4853E-96;3.1560E-112;6.7062E-128
1.4292E+01;1.2093E-17;2.5695E-33;5.4598E-49;1.1601E-64;2.4651E-80;5.2380E-96;1.1130E-111;2.3649E-127
1.4012E+01;9.4575E-17;2.0095E-32;4.2700E-48;9.0730E-64;1.9278E-79;4.0964E-95;8.7043E-111;1.8495E-126
1.3738E+01;4.1762E-16;8.8735E-32;1.8855E-47;4.0064E-63;8.5129E-79;1.8088E-94;3.8435E-110;8.1668E-126
1.3469E+01;2.1067E-15;4.4763E-31;9.5115E-47;2.0211E-62;4.2944E-78;9.1250E-94;1.9389E-109;4.1199E-125
1.3205E+01;4.5161E-15;9.5957E-31;2.0389E-46;4.3324E-62;9.2057E-78;1.9561E-93;4.1563E-109;8.8316E-125
1.2947E+01;9.2577E-15;1.9670E-30;4.1796E-46;8.8809E-62;1.8871E-77;4.0097E-93;8.5200E-109;1.8104E-124
1.2693E+01;3.4394E-14;7.3079E-30;1.5528E-45;3.2995E-61;7.0109E-77;1.4897E-92;3.1654E-108;6.7260E-124
1.2445E+01;8.5552E-14;1.8178E-29;3.8625E-45;8.2072E-61;1.7439E-76;3.7055E-92;7.8736E-108;1.6731E-123
1.2201E+01;1.1636E-13;2.4723E-29;5.2533E-45;1.1162E-60;2.3718E-76;5.0397E-92;1.0709E-107;2.2754E-123
1.1963E+01;1.9626E-13;4.1701E-29;8.8608E-45;1.8828E-60;4.0006E-76;8.5006E-92;1.8063E-107;3.8380E-123
1.1728E+01;3.9427E-13;8.3771E-29;1.7800E-44;3.7821E-60;8.0365E-76;1.7076E-91;3.6285E-107;7.7099E-123
1.1499E+01;6.8226E-13;1.4496E-28;3.0801E-44;6.5449E-60;1.3907E-75;2.9549E-91;6.2788E-107;1.3341E-122
1.1274E+01;1.6676E-12;3.5429E-28;7.5280E-44;1.5995E-59;3.3987E-75;7.2218E-91;1.5345E-106;3.2605E-122
1.1053E+01;3.9684E-12;8.4308E-28;1.7914E-43;3.8063E-59;8.0878E-75;1.7185E-90;3.6515E-106;7.7588E-122
1.0837E+01;4.7128E-12;1.0011E-27;2.1272E-43;4.5199E-59;9.6039E-75;2.0406E-90;4.3360E-106;9.2131E-122
1.0625E+01;2.6158E-06;1.8761E-06;1.8013E-07;1.6102E-08;4.0973E-09;3.1793E-09;3.0848E-09;3.0605E-09
1.0417E+01;4.3388E-06;3.1119E-06;2.9878E-07;2.6707E-08;6.7960E-09;5.2734E-09;5.1167E-09;5.0763E-09
1.0213E+01;4.8167E-06;3.4545E-06;3.3168E-07;2.9648E-08;7.5445E-09;5.8542E-09;5.6803E-09;5.6355E-09
1.0013E+01;7.1924E-06;5.1585E-06;4.9528E-07;4.4273E-08;1.1266E-08;8.7421E-09;8.4823E-09;8.4154E-09
9.8169E+00;7.0518E-06;5.0576E-06;4.8560E-07;4.3406E-08;1.1046E-08;8.5709E-09;8.3163E-09;8.2507E-09
9.6247E+00;1.0180E-05;7.3009E-06;7.0098E-07;6.2659E-08;1.5945E-08;1.2372E-08;1.2005E-08;1.1910E-08
